date = 2024-06-30 18:55:35.410, timestamp = 345618049481634, x = 1029, y = 632
date = 2024-06-30 18:55:37.087, timestamp = 345619726394134, x = 842, y = 1262
date = 2024-06-30 18:55:38.765, timestamp = 345621404605592, x = 505, y = 1060
date = 2024-06-30 18:55:40.536, timestamp = 345623175307154, x = 97, y = 538
date = 2024-06-30 18:55:42.268, timestamp = 345624907088404, x = 108, y = 447
date = 2024-06-30 18:55:43.815, timestamp = 345626454061841, x = 811, y = 1153
date = 2024-06-30 18:55:45.440, timestamp = 345628079184237, x = 960, y = 1102
date = 2024-06-30 18:55:47.197, timestamp = 345629836250382, x = 991, y = 1813
date = 2024-06-30 18:55:48.926, timestamp = 345631565469653, x = 849, y = 455
date = 2024-06-30 18:55:50.536, timestamp = 345633175163403, x = 755, y = 679
date = 2024-06-30 18:55:52.284, timestamp = 345634923856111, x = 563, y = 341
date = 2024-06-30 18:55:54.093, timestamp = 345636732497256, x = 295, y = 130
date = 2024-06-30 18:55:55.935, timestamp = 345638574223298, x = 68, y = 481
date = 2024-06-30 18:55:57.655, timestamp = 345640294330589, x = 274, y = 759
date = 2024-06-30 18:55:59.439, timestamp = 345642078349860, x = 784, y = 92
date = 2024-06-30 18:56:01.200, timestamp = 345643839118609, x = 922, y = 415
date = 2024-06-30 18:56:03.073, timestamp = 345645712136318, x = 112, y = 81
date = 2024-06-30 18:56:04.640, timestamp = 345647279685276, x = 539, y = 1056
date = 2024-06-30 18:56:06.394, timestamp = 345649033233713, x = 200, y = 949
date = 2024-06-30 18:56:08.208, timestamp = 345650847238921, x = 405, y = 1826
date = 2024-06-30 18:56:09.976, timestamp = 345652615795171, x = 950, y = 1923
date = 2024-06-30 18:56:11.787, timestamp = 345654426479545, x = 61, y = 338
date = 2024-06-30 18:56:13.484, timestamp = 345656123005066, x = 353, y = 1461
date = 2024-06-30 18:56:15.130, timestamp = 345657769012878, x = 1030, y = 487
date = 2024-06-30 18:56:16.867, timestamp = 345659506358190, x = 64, y = 1299
date = 2024-06-30 18:56:18.665, timestamp = 345661304171732, x = 347, y = 114
date = 2024-06-30 18:56:20.401, timestamp = 345663040871732, x = 229, y = 103
date = 2024-06-30 18:56:22.203, timestamp = 345664842832669, x = 127, y = 70
date = 2024-06-30 18:56:23.878, timestamp = 345666517064439, x = 788, y = 1088
date = 2024-06-30 18:56:25.668, timestamp = 345668307509231, x = 618, y = 401
date = 2024-06-30 18:56:27.323, timestamp = 345669962756105, x = 546, y = 188
date = 2024-06-30 18:56:29.025, timestamp = 345671664903501, x = 754, y = 1682
date = 2024-06-30 18:56:30.840, timestamp = 345673479849855, x = 270, y = 82
date = 2024-06-30 18:56:32.494, timestamp = 345675133874855, x = 446, y = 1126
date = 2024-06-30 18:56:34.319, timestamp = 345676958313917, x = 258, y = 246
date = 2024-06-30 18:56:36.070, timestamp = 345678709073812, x = 118, y = 1346
date = 2024-06-30 18:56:37.927, timestamp = 345680566860791, x = 214, y = 1999
date = 2024-06-30 18:56:39.646, timestamp = 345682285558708, x = 426, y = 772
date = 2024-06-30 18:56:41.291, timestamp = 345683930176416, x = 363, y = 1543
date = 2024-06-30 18:56:43.132, timestamp = 345685771897249, x = 104, y = 1325
